OID_,MODE,NAMEID,NAME,OPERATOR,ONEWAY,RT_DIST,PK_PRD,OK_PRD,PK_HEADWAY,OK_HEADWAY,PK_RT_TIME,OK_RT_TIME,PK_SPEED,OK_SPEED,PK_D_BOARD,PK_W_BOARD,PK_BOARD,PK_ALIGHT,OK_D_BOARD,OK_W_BOARD,OK_BOARD,OK_ALIGHT,DY_D_BOARD,DY_W_BOARD,DY_BOARD,DY_ALIGHT,PK_VEH,OK_VEH,DY_VEH,PK_REVMI,OK_REVMI,DY_REVMI,PK_REVHR,OK_REVHR,DY_REVHR
,4,1.0000000,D460,0.000000000000000,1,24.3999996,6,10,60,0,93.3700027,81.9899979,15.6999998,17.8999996,29.8799992,124.5100021,154.3899994,154.3899994,0.0000000,0.0000000,0.0000000,0.0000000,29.8799992,124.5100021,154.3899994,154.3899994,2.0000000,0.0000000,2.0000000,146.3999939,0.0000000,146.3999939,12.0000000,0.0000000,12.0000000
,4,2.0000000,D461,0.000000000000000,1,38.7400017,6,10,30,0,140.1600037,128.5399933,16.6000004,18.1000004,15.3100004,333.9599915,349.2699890,349.2699890,0.0000000,0.0000000,0.0000000,0.0000000,15.3100004,333.9599915,349.2699890,349.2699890,5.0000000,0.0000000,5.0000000,464.8800049,0.0000000,464.8800049,30.0000000,0.0000000,30.0000000
,4,3.0000000,D462,0.000000000000000,1,23.4400005,6,10,40,0,86.5299988,75.0000000,16.2999992,18.7999992,0.3700000,114.0699997,114.4400024,114.4400024,0.0000000,0.0000000,0.0000000,0.0000000,0.3700000,114.0699997,114.4400024,114.4400024,3.0000000,0.0000000,3.0000000,210.9600067,0.0000000,210.9600067,18.0000000,0.0000000,18.0000000
,4,4.0000000,FD605,0.000000000000000,0,15.9600000,6,10,30,30,56.1699982,55.8800011,17.0000000,17.1000004,15.2500000,199.7299957,214.9799957,214.9799957,2.5300000,128.6100006,131.1399994,131.1399994,17.7800007,328.3399963,346.1199951,346.1199951,2.0000000,2.0000000,2.0000000,191.5200043,319.2000122,510.7200012,12.0000000,20.0000000,32.0000000
,4,5.0000000,M805_Santaquin,0.000000000000000,1,61.6699982,6,10,45,60,92.8899994,88.7200012,39.7999992,41.7000008,71.0999985,238.9100037,310.0100098,310.0100098,6.0000000,90.2799988,96.2799988,96.2799988,77.0999985,329.1900024,406.2900085,406.2900085,3.0000000,2.0000000,3.0000000,493.3599854,616.7000122,1110.0999756,18.0000000,20.0000000,38.0000000
,4,6.0000000,M806_EglMtn,0.000000000000000,1,28.3199997,6,10,45,0,60.3499985,53.6899986,28.2000008,31.6000004,29.7700005,164.5599976,194.3300018,194.3300018,0.0000000,0.0000000,0.0000000,0.0000000,29.7700005,164.5599976,194.3300018,194.3300018,2.0000000,0.0000000,2.0000000,226.5599976,0.0000000,226.5599976,12.0000000,0.0000000,12.0000000
,4,7.0000000,M807_NoCnty,0.000000000000000,1,21.6100006,6,10,30,0,67.3199997,65.9499969,19.2999992,19.7000008,75.0299988,241.2100067,316.2399902,316.2399902,0.0000000,0.0000000,0.0000000,0.0000000,75.0299988,241.2100067,316.2399902,316.2399902,3.0000000,0.0000000,3.0000000,259.3200073,0.0000000,259.3200073,18.0000000,0.0000000,18.0000000
,4,8.0000000,M809_AM-PG,0.000000000000000,1,6.2300000,6,10,30,0,21.9200001,21.5900002,17.1000004,17.2999992,2.0000000,23.8799992,25.8799992,25.8799992,0.0000000,0.0000000,0.0000000,0.0000000,2.0000000,23.8799992,25.8799992,25.8799992,1.0000000,0.0000000,1.0000000,74.7600021,0.0000000,74.7600021,6.0000000,0.0000000,6.0000000
,4,9.0000000,M821_Psn,0.000000000000000,0,43.1199989,6,10,30,60,120.5899963,118.4000015,21.5000000,21.8999996,17.8099995,349.9599915,367.7699890,367.7699890,11.6999998,388.6000061,400.2999878,400.2999878,29.5100002,738.5599976,768.0700073,768.0700073,5.0000000,2.0000000,5.0000000,517.4400024,431.2000122,948.6400146,30.0000000,20.0000000,50.0000000
,4,10.0000000,M822_Psn,0.000000000000000,0,54.1800003,6,10,60,0,159.0800018,156.4100037,20.3999996,20.7999992,134.7799988,718.6799927,853.4600220,853.4600220,0.0000000,0.0000000,0.0000000,0.0000000,134.7799988,718.6799927,853.4600220,853.4600220,3.0000000,0.0000000,3.0000000,325.0799866,0.0000000,325.0799866,18.0000000,0.0000000,18.0000000
